Source,Destination,Protocol
169.254.146.243,224.0.0.251,UDP
10.11.15.126,224.0.0.22,
10.11.17.0,169.254.146.243,UDP
10.11.17.0,169.254.146.243,UDP
10.11.15.126,224.0.0.251,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.251,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.22,
169.254.146.243,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
10.11.23.204,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.16.234,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
10.11.23.204,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,57.144.243.32,TCP
8.8.8.8,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
